PROJECT,STATUS ,NATIONWIDE_ID,AP SITE CODE,LOCATION NAME,AP SITE NAME,BARANGAY,LOC ID,PROV ID,Locality ,Province,ISLAND GROUP,SITE TYPE,CMS PROVIDER,LINK PROVIDER,LAST MILE TECHNOLOGY,BW DOWNLOAD (CIR),LATITUDE,LONGITUDE,DATE OF ACTIVATION,Accepted?,Total Unique Users,8-Jan-26,Bandwidth Utilization/Remarks,Total Users,9-Jan-26,Bandwidth Utilization/Remarks,Total Users,12-Jan-26,Bandwidth Utilization/Remarks,Total Users,13-Jan-26,Bandwidth Utilization/Remarks,Total Users,14-Jan-26,Bandwidth Utilization/Remarks,Total Users,15-Jan-26,Bandwidth Utilization/Remarks,Total Users,16-Jan-26,Bandwidth Utilization/Remarks,Total Users,19-Jan-26,Bandwidth Utilization/Remarks,Total Users,20-Jan-26,Bandwidth Utilization/Remarks,Total Users,21-Jan-26,Bandwidth Utilization/Remarks,Total Users,22-Jan-26,Bandwidth Utilization/Remarks,Total Users,23-Jan-26,Bandwidth Utilization/Remarks,Total Users,26-Jan-26,Bandwidth Utilization/Remarks,Total Users,27-Jan-26,Bandwidth Utilization/Remarks,Total Users,28-Jan-26,Bandwidth Utilization/Remarks,Total Users,29-Jan-26,Bandwidth Utilization/Remarks,Total Users,30-Jan-26,Bandwidth Utilization/Remarks,Total Users
Emergency Procurement,REBATES,131598,SINAG-R2-001A,Northwestern Cagayan General Hospital,Northwestern Cagayan General Hospital Hallway 1 (Along Pharmacy),Pinili,L3-0161,6,Abulug,Cagayan,LUZON,HSP,IT BUSINESS SOLUTIONS,IT BUSINESS SOLUTIONS,LEO,100,17.561069,121.682947,3-Mar-25,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UP,3.06,7,UP,0.01407,8,UP,0.002,6,UP,0.011,6,UP,3.41,17
Emergency Procurement,REBATES,131598,SINAG-R2-001B,Northwestern Cagayan General Hospital,Northwestern Cagayan General Hospital Hallway 2 (Along Offices),Pinili,L3-0161,6,Abulug,Cagayan,LUZON,HSP,IT BUSINESS SOLUTIONS,IT BUSINESS SOLUTIONS,LEO,100,17.561069,121.682947,3-Mar-25,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UP,0.001,3,UP,0.36717,12,UP,0.022,7,UP,0.544,7,UP,0.00851,7
Emergency Procurement,REBATES,131576,SINAG-R2-002A,LGU Amulung - Sub Office,LGU Amulung - Sub Office Grounds,Annafatan,L3-0176,6,Amulung,Cagayan,LUZON,LGU-HALL,IT BUSINESS SOLUTIONS,IT BUSINESS SOLUTIONS,LEO,100,17.794515,121.657689,3-Mar-25,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UP,0.00113,2,UP,0.767,2,UP,0.05,6,NO NMS,,,NO NMS,,,NO NMS,,
Emergency Procurement,REBATES,131576,SINAG-R2-002B,LGU Amulung - Sub Office,LGU Amulung - Sub Office Right Wing,Annafatan,L3-0176,6,Amulung,Cagayan,LUZON,LGU-HALL,IT BUSINESS SOLUTIONS,IT BUSINESS SOLUTIONS,LEO,100,17.794515,121.657689,3-Mar-25,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UP,0.00013,0,UP,0.011,2,UP,0.001,0,NO NMS,,,NO NMS,,,NO NMS,,
Emergency Procurement,REBATES,131604,SINAG-R2-003A,TFLC Amulung,TFLC Amulung Lobby,Annafatan,L3-0176,6,Amulung,Cagayan,LUZON,LGU-OTHERS,IT BUSINESS SOLUTIONS,IT BUSINESS SOLUTIONS,LEO,100,17.823853,121.726185,3-Mar-25,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UP,0.000187,3,UP,0.963,6,UP,0.004,4,NO NMS,,,NO NMS,,,NO NMS,,
Emergency Procurement,REBATES,131604,SINAG-R2-003B,TFLC Amulung,TFLC Amulung Grounds,Annafatan,L3-0176,6,Amulung,Cagayan,LUZON,LGU-OTHERS,IT BUSINESS SOLUTIONS,IT BUSINESS SOLUTIONS,LEO,100,17.823853,121.726185,3-Mar-25,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UP,0.84074,11,UP,0.308,11,UP,0.737,12,NO NMS,,,NO NMS,,,NO NMS,,
Emergency Procurement,REBATES,43900,SINAG-R2-004A,Aparri Hospital,Aparri Hospital Old Building ,Toran,L3-0181,6,Aparri,Cagayan,LUZON,HSP,IT BUSINESS SOLUTIONS,IT BUSINESS SOLUTIONS,LEO,100,18.308955,121.658014,3-Mar-25,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UP,0.75661,20,UP,0.841,23,UP,2.26,44,NO NMS,,,NO NMS,,,NO NMS,,
Emergency Procurement,REBATES,43900,SINAG-R2-004B,Aparri Hospital,Aparri Hospital New Building ,Toran,L3-0181,6,Aparri,Cagayan,LUZON,HSP,IT BUSINESS SOLUTIONS,IT BUSINESS SOLUTIONS,LEO,100,18.308955,121.658014,3-Mar-25,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UP,2.12,43,UP,4.48,73,UP,2.42,55,NO NMS,,,NO NMS,,,NO NMS,,
Emergency Procurement,REBATES,119025,SINAG-R2-005A,CSU Aparri,CSU Aparri Tech4ED Building,Centro 1 (Pob.),L3-0181,6,Aparri,Cagayan,LUZON,HEI-SUC,IT BUSINESS SOLUTIONS,IT BUSINESS SOLUTIONS,LEO,100,18.356384,121.637237,3-Mar-25,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UP,0.21005,10,UP,0.159,13,UP,0.305,8,NO NMS,,,NO NMS,,,NO NMS,,
Emergency Procurement,REBATES,119025,SINAG-R2-005B,CSU Aparri,CSU Aparri Tech4ED Building - Grounds,Centro 1 (Pob.),L3-0181,6,Aparri,Cagayan,LUZON,HEI-SUC,IT BUSINESS SOLUTIONS,IT BUSINESS SOLUTIONS,LEO,100,18.356384,121.637237,3-Mar-25,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UP,0.000492,1,UP,0.38,7,UP,0.871,11,NO NMS,,,NO NMS,,,NO NMS,,
Emergency Procurement,REBATES,131586,SINAG-R2-006A,MDRRMO Baggao,MDRRMO - 3rd Floor,San Jose,L3-0186,6,Baggao,Cagayan,LUZON,DRRMO,IT BUSINESS SOLUTIONS,IT BUSINESS SOLUTIONS,LEO,100,17.889306,121.87138,3-Mar-25,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOWN,25-Dec-25,,DOWN,25-Dec-25,,DOWN,25-Dec-25,,DOWN,25-Dec-25,,UP,0.811,7
Emergency Procurement,REBATES,131586,SINAG-R2-006B,MDRRMO Baggao,MDRRMO Grounds,San Jose,L3-0186,6,Baggao,Cagayan,LUZON,DRRMO,IT BUSINESS SOLUTIONS,IT BUSINESS SOLUTIONS,LEO,100,17.889306,121.87138,3-Mar-25,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOWN,25-Dec-25,,DOWN,25-Dec-25,,DOWN,25-Dec-25,,DOWN,25-Dec-25,,UP,9.2,18
